original_text,reframed_text,strategy,original_with_label
"my nose hurts, my stomach, I'm tired, and I have a LOT of makeup work.",I'm glad I could stay home today and focus on getting healthy. I'll worry about classes once I'm feeling better.,['thankfulness'],"my nose hurts, my stomach, I'm tired, and I have a LOT of makeup work. Strategy: ['thankfulness']"
"If You had the balls to Leave without Caring, Don't Bother Coming Back!!!!!!! Disappointed Angry","If someone wants to leave me, and I am going to move on with my life because I have better things in my future.","['optimism', 'self_affirmation']","If You had the balls to Leave without Caring, Don't Bother Coming Back!!!!!!! Disappointed Angry Strategy: ['optimism', 'self_affirmation']"
"What I don't understand, is how can I be this clear and still have you wondering?","If I make an effort to work on my interpersonal skills, I'll be able to communicate better and more clearly with a variety of people, which will help me connect with others.",['growth'],"What I don't understand, is how can I be this clear and still have you wondering? Strategy: ['growth']"
another late night and early morning College work has taken over my lifecollege coursework fashion tired exhausted,"College is a lot of work, but I am thankful that I have the opportunity to go.",['thankfulness'],another late night and early morning College work has taken over my lifecollege coursework fashion tired exhausted Strategy: ['thankfulness']
I just wanna crawl up in my bed and go to sleep for as long as possible. SoUpset,I would love to go to sleep and wake up in a better frame of mind tomorrow.,"['impermanence', 'optimism']","I just wanna crawl up in my bed and go to sleep for as long as possible. SoUpset Strategy: ['impermanence', 'optimism']"
"I should have ratted on you, but I didn't because I'm not as mean a person as you.",I am loyal to my friends and do not usually tell on them.,"['growth', 'optimism']","I should have ratted on you, but I didn't because I'm not as mean a person as you. Strategy: ['growth', 'optimism']"
I'm so tired. I wish I could just spend the night relaxing but I have way too much homework. Ugh,I am tired and have too much homework. I hope to finish it soon and relax in my bed.,"['neutralizing', 'optimism']","I'm so tired. I wish I could just spend the night relaxing but I have way too much homework. Ugh Strategy: ['neutralizing', 'optimism']"
I need to blow a blunt asap. It's been a long day. Headphones are in and the volume is,It's been a long day have to take rest.,"['self_affirmation', 'thankfulness']","I need to blow a blunt asap. It's been a long day. Headphones are in and the volume is Strategy: ['self_affirmation', 'thankfulness']"
"Wouldn't it be nice to not have to worry about work or money or anything, absolutely sick of being an adult","I know it would be like not worrying about work or money. But looking on the bright side, these are things that made many other things possible for me, so I'm happy with that.","['growth', 'optimism']","Wouldn't it be nice to not have to worry about work or money or anything, absolutely sick of being an adult Strategy: ['growth', 'optimism']"
The only thing keeping me going is knowing everyday that goes by is one day closer to closing on our house..,Life is tough now but soon it will all be worth it when we can move in to our new home.,['optimism'],The only thing keeping me going is knowing everyday that goes by is one day closer to closing on our house.. Strategy: ['optimism']
"Since I done 4 hours of maths, I feel like I may just pass hopefully :) hate exams","I've done 4 hours of math, I'm ready to pass the test!","['neutralizing', 'optimism']","Since I done 4 hours of maths, I feel like I may just pass hopefully :) hate exams Strategy: ['neutralizing', 'optimism']"
after 6 hours of research and typing I am half way through my psychology essay and haven't even started my english one fuck,6 hours of research and hard work I am half way through my psychology essay! Motivated to finish this and the English essay,['neutralizing'],after 6 hours of research and typing I am half way through my psychology essay and haven't even started my english one fuck Strategy: ['neutralizing']
If I was me.. Where would I hide all my money I saved for Vegas.. cuz I'm too good of a hider :(,If I was me I will hide my money in a secert place for Vegas this will help to take in future.,['growth'],If I was me.. Where would I hide all my money I saved for Vegas.. cuz I'm too good of a hider :( Strategy: ['growth']
Finding it really hard getting in all my meals with work  how do you all do it????,"I am not sure how the rest of you getting in all your meals with all the work, and I have a similar problem, but at least I can say I have been productive at the end of the day",['thankfulness'],Finding it really hard getting in all my meals with work  how do you all do it???? Strategy: ['thankfulness']
Being in such a good mood to want to curl up and cry mood swings bored tired,I will let everything bad pass... Good things will come. I just need to allow myself to feel every emotion I can!,"['growth', 'optimism', 'self_affirmation']","Being in such a good mood to want to curl up and cry mood swings bored tired Strategy: ['growth', 'optimism', 'self_affirmation']"
"This is the 3rd floor. You don't giggle here. Go flirt downstairs, ya little shits.","I'm glad you're in a good mood, but this is the 3rd floor.  You don't giggle here because we try to be quiet on this floor.  You're most welcome to go flirt and laugh downstairs though.","['neutralizing', 'thankfulness']","This is the 3rd floor. You don't giggle here. Go flirt downstairs, ya little shits. Strategy: ['neutralizing', 'thankfulness']"
It has me thinking on a lot of stuff that I really don't need,Thinking about many things can be good since it means I have things to think about.,['optimism'],It has me thinking on a lot of stuff that I really don't need Strategy: ['optimism']
I'm about to have a fucking mental breakdown. Can't wait to finish these 4 fucking final exams,So glad these finals are almost over,['impermanence'],I'm about to have a fucking mental breakdown. Can't wait to finish these 4 fucking final exams Strategy: ['impermanence']
Didn't sleep got a lot on my mind !!!stresseddont wanna give a fuck no more !!,I need to stay calm now so I don't get even more stressed. Sleeping little is bad for me.,"['optimism', 'self_affirmation']","Didn't sleep got a lot on my mind !!!stresseddont wanna give a fuck no more !! Strategy: ['optimism', 'self_affirmation']"
I can't remember the last time I didn't have anything to do and I have a game everyday this week and the SAT's and work Saturday..,I keep my time busy so I can be productive!,['growth'],I can't remember the last time I didn't have anything to do and I have a game everyday this week and the SAT's and work Saturday.. Strategy: ['growth']
I am the only person I know who writes a healthy grocery list and plans meals when I am stressed:( CantSleep,I'm so thankful that I am still able to eat healthy even when I'm stressed.,['thankfulness'],I am the only person I know who writes a healthy grocery list and plans meals when I am stressed:( CantSleep Strategy: ['thankfulness']
It's one o' clock in the morning. i just like spazzed out. felt like just another panic attack. hyperventlating is never fun.,"Having panic attacks is hard, I just need to remember to slow my breathing, and it will pass.",['impermanence'],It's one o' clock in the morning. i just like spazzed out. felt like just another panic attack. hyperventlating is never fun. Strategy: ['impermanence']
Does anyone else feel terribly pressured to come up with the perfect subject line when sending out emails?,It entertains me to think about the different ways that exist to send electronic emails!!,['optimism'],Does anyone else feel terribly pressured to come up with the perfect subject line when sending out emails? Strategy: ['optimism']
"Ive been so busy with school work man so glad next week the last week, im so tired, this last class got me sleepy af  finals next week too so I been trynna study and shit as well fck  Im drained","Only one week left before finals are all over, and I'm done with school for now. Going to rest then study for the finals.","['impermanence', 'neutralizing', 'thankfulness']","Ive been so busy with school work man so glad next week the last week, im so tired, this last class got me sleepy af  finals next week too so I been trynna study and shit as well fck  Im drained Strategy: ['impermanence', 'neutralizing', 'thankfulness']"
"I would never wish for a shutdown, but I wouldn't mind logging off for a few days and then restarting. Crushed",I think a few days logged off would be really great for my health.,"['neutralizing', 'self_affirmation']","I would never wish for a shutdown, but I wouldn't mind logging off for a few days and then restarting. Crushed Strategy: ['neutralizing', 'self_affirmation']"
Seriously who created group chats i'm talking to 6 different groups right now and God forbid i message the wrong group,I'm going to be mindful of the messages I'm sending out.,['neutralizing'],Seriously who created group chats i'm talking to 6 different groups right now and God forbid i message the wrong group Strategy: ['neutralizing']
In 23h I would have pass my oral presentation. Hopefully it will go well and be a good news at the end Or not.,"Whatever the result of my oral presentation will be, at least I will be done with it so I can move on to other stuff in my life.",['optimism'],In 23h I would have pass my oral presentation. Hopefully it will go well and be a good news at the end Or not. Strategy: ['optimism']
Helped shovel my sister's drive yesterday. It's 2:30 am and my shoulder hurts and I can't sleep. This sucks.,"Helped shovel my sister's drive yesterday. Even though my shoulder is hurting now, it is always important to help family.",['self_affirmation'],Helped shovel my sister's drive yesterday. It's 2:30 am and my shoulder hurts and I can't sleep. This sucks. Strategy: ['self_affirmation']
"I hate all the millions of packets, papers, and assignments teachers give during finals week.  seriouslywtf","Even though there's a lot of papers handed out, I'm glad they will all help me with the exams.","['growth', 'optimism', 'thankfulness']","I hate all the millions of packets, papers, and assignments teachers give during finals week.  seriouslywtf Strategy: ['growth', 'optimism', 'thankfulness']"
Finally time to watch Game of Thrones! I am not mentally or emotionally prepared for this!!! GameOfThrones GameOfThronesFinale ForTheThrone TheLastEpisode,Finally time to watch Game of Thrones! I am fully prepared for this and quite excited too!,['neutralizing'],Finally time to watch Game of Thrones! I am not mentally or emotionally prepared for this!!! GameOfThrones GameOfThronesFinale ForTheThrone TheLastEpisode Strategy: ['neutralizing']
I cannot wait to be off work and priorities met so I can chug down this bottle of Riesling.,I'm looking forward to finishing work and priorities so I can enjoy a bottle of Riesling.,['neutralizing'],I cannot wait to be off work and priorities met so I can chug down this bottle of Riesling. Strategy: ['neutralizing']
Like why does all my teachers make projects do on the same day imonlyhuman can't spread my self thin,It would be better if my teachers did projects on different days !,['growth'],Like why does all my teachers make projects do on the same day imonlyhuman can't spread my self thin Strategy: ['growth']
"Haven't been in this in a while, I've been busy! :/ busy and I hate being busy to it makes me !","Haven’t been so busy in a while which I don’t like, so I hope this busy life comes to an end soon.",['impermanence'],"Haven't been in this in a while, I've been busy! :/ busy and I hate being busy to it makes me ! Strategy: ['impermanence']"
"extremely convinced by d insensitivity of this govt towards traffic gridlock, 3mb is on stand still.",I am going to write to my local government about the traffic problem.,"['growth', 'optimism']","extremely convinced by d insensitivity of this govt towards traffic gridlock, 3mb is on stand still. Strategy: ['growth', 'optimism']"
I'm the idiot who forgets her key to her apartment back at home clutz forget,I should not forget my keys.,['growth'],I'm the idiot who forgets her key to her apartment back at home clutz forget Strategy: ['growth']
Finals weeka slow and stressful death. I thought I could taste summer but nope not even close.,I'm working so hard on my finals I know that this will help me grow and prepare me for my career.,"['growth', 'optimism']","Finals weeka slow and stressful death. I thought I could taste summer but nope not even close. Strategy: ['growth', 'optimism']"
20 school days left.. And I feel like I have 100 days worth of stuff to do still.  notcool tired,Only 20 school days left to go before the end of the school year!,['impermanence'],20 school days left.. And I feel like I have 100 days worth of stuff to do still.  notcool tired Strategy: ['impermanence']
Just want all my college work finished now :( - hate written workdance college Anniesland history everything sad annoyed,"As soon as I finish my college work, I know I’ll be free of all burdens.","['impermanence', 'optimism', 'self_affirmation']","Just want all my college work finished now :( - hate written workdance college Anniesland history everything sad annoyed Strategy: ['impermanence', 'optimism', 'self_affirmation']"
I'm at the tipping point of just breaking down or just going home and watching Frozen,I don't intend to collapse! I'll just go home and watch Frozen.,['neutralizing'],I'm at the tipping point of just breaking down or just going home and watching Frozen Strategy: ['neutralizing']
In 2 hours ill be taking my second to last final but im not close to being ready nervous,In 2 hours iI will be taking my second to last final and I hope to get ready by that time.,['optimism'],In 2 hours ill be taking my second to last final but im not close to being ready nervous Strategy: ['optimism']
Today is one of those days that require a large glass of wine and chocolate! annoyed,I can't wait to sit back and have a lovely glass of wine and chocolate after an annoying day.,"['neutralizing', 'thankfulness']","Today is one of those days that require a large glass of wine and chocolate! annoyed Strategy: ['neutralizing', 'thankfulness']"
Revision. Absolutely hate physics! I don't understand why I need to learn 'The Life cycle of a Star' I DONT NEED THIS IN LIFE. .,Physics is not my favorite subject as it is not necessary to learn “The Life cycle of a Star' to lead a normal life.,['neutralizing'],Revision. Absolutely hate physics! I don't understand why I need to learn 'The Life cycle of a Star' I DONT NEED THIS IN LIFE. . Strategy: ['neutralizing']
I'm tired of my son having these seizuresand sick of the doctors telling me it's NORMAL!!! irritated annoyed,"Dealing with my son's sickness can be overwhelming, but I'm grateful for being able to look after him.","['self_affirmation', 'thankfulness']","I'm tired of my son having these seizuresand sick of the doctors telling me it's NORMAL!!! irritated annoyed Strategy: ['self_affirmation', 'thankfulness']"
I have so many things to do these next 5 days that it's ridiculous! TooBusy LotsOfHomework TestsOnTests Stressed :/,I have several pieces of homework and tests coming up so I need to study,"['growth', 'neutralizing']","I have so many things to do these next 5 days that it's ridiculous! TooBusy LotsOfHomework TestsOnTests Stressed :/ Strategy: ['growth', 'neutralizing']"
I'm actually really hurt that my parents don't think I'm trying in school. finals :/,I'm learning to understand why my parents think I'm not trying in school finals,['growth'],I'm actually really hurt that my parents don't think I'm trying in school. finals :/ Strategy: ['growth']
"I wish I wasn't in this situation, like I have no idea what to do",I need to focus on myself to get out of this situation,['growth'],"I wish I wasn't in this situation, like I have no idea what to do Strategy: ['growth']"
Proper stressed homework winds gonna knock the fense Down and everyone is doin my head in ihateeveryone,I'm planning on giving myself a nice reward after I finish my homework.,"['impermanence', 'optimism']","Proper stressed homework winds gonna knock the fense Down and everyone is doin my head in ihateeveryone Strategy: ['impermanence', 'optimism']"
I wish I could make you little and put you in my pocket! Urgent hair needed doing!!!,I would be very happy if I could make you little and put you in my pocket.,['optimism'],I wish I could make you little and put you in my pocket! Urgent hair needed doing!!! Strategy: ['optimism']
My sister stole my phone and embarrassed me That seriously took me 7min to get it to start oldcarprobs,"Even though my sister stole my phone, I’m happy to know that I can still feel emotions beyond anger.",['optimism'],My sister stole my phone and embarrassed me That seriously took me 7min to get it to start oldcarprobs Strategy: ['optimism']
This semester is so much harder than my first one and it's so hard to stay motivated,"A very challenging semester, full of learning!",['optimism'],This semester is so much harder than my first one and it's so hard to stay motivated Strategy: ['optimism']
Worst headache ever and my to do list is as long as me!! Please can we just stop so I can get sorted!,I am having a headache because of the long to- do list. I wish we could stop and get sorted.,['neutralizing'],Worst headache ever and my to do list is as long as me!! Please can we just stop so I can get sorted! Strategy: ['neutralizing']
"24 days. Seriously, this can't come quickly enough. There's so much to do with so little time.",There are only 24 days and so much to do. But I am cent percent sure that I can pull through.,['optimism'],"24 days. Seriously, this can't come quickly enough. There's so much to do with so little time. Strategy: ['optimism']"
I don't think I'll ever get to do my own thing. Too many people rely on me to help them with their lives.,"I need to take my responsibility and do my own thing, many people trust me and I cannot leave them disappointed.","['growth', 'impermanence', 'optimism']","I don't think I'll ever get to do my own thing. Too many people rely on me to help them with their lives. Strategy: ['growth', 'impermanence', 'optimism']"
All the school work that I need to do for the end of the semester.. Will not fit in 140 characters or less.,I have enough time to finish the school work I have for this semester if I stay focused.,['growth'],All the school work that I need to do for the end of the semester.. Will not fit in 140 characters or less. Strategy: ['growth']
I thought my last exam was bad but it's nothing compared to this one! :'(,I thought my last test was terrible.,"['growth', 'neutralizing']","I thought my last exam was bad but it's nothing compared to this one! :'( Strategy: ['growth', 'neutralizing']"
So tired but my OCD is kicking in! I will be cleaning until it's spotless!,Tired but gotta get my clean on!,['neutralizing'],So tired but my OCD is kicking in! I will be cleaning until it's spotless! Strategy: ['neutralizing']
My life is so mixed up right now! I'm sorry if I wasn't the same to you today!!!! sadtweet SorryImActuallySorry,I wasn't really myself today but I'm sure everyone knows that I'm acting out of character.,"['growth', 'neutralizing', 'optimism']","My life is so mixed up right now! I'm sorry if I wasn't the same to you today!!!! sadtweet SorryImActuallySorry Strategy: ['growth', 'neutralizing', 'optimism']"
"Normally I'd be really excited about that, but the fact that I haven't made progress while I've been sick makes much less excited.","Normally I'd be really excited about that, but I haven't made progress while I've been sick. But, I'm going to be better, my progress will increase again, and this will be great.",['optimism'],"Normally I'd be really excited about that, but the fact that I haven't made progress while I've been sick makes much less excited. Strategy: ['optimism']"
You don't understand tht I don't do big crowds. I just want everyone to go home..,People sometimes prefer to be alone and that's normal.,['impermanence'],You don't understand tht I don't do big crowds. I just want everyone to go home.. Strategy: ['impermanence']
Going to the dentist always reminds me soo much of why I try soo hard to bail out of it every time!,My dentist appointments never last as long as I think they will.,['impermanence'],Going to the dentist always reminds me soo much of why I try soo hard to bail out of it every time! Strategy: ['impermanence']
Love what I do for my family. But sometimes it's mentally exhausting when they are ill,I am very grateful to have the strength to take care of my family when they are sick even though it is an exhausting task,['thankfulness'],Love what I do for my family. But sometimes it's mentally exhausting when they are ill Strategy: ['thankfulness']
Waiting for the breakdown people to come out. Please tell me what's wrong with my car. Fix it. And let me go away!,Waiting for breakdown people to come out. I would be glad ifyou could fix my car and send me away soon.,"['neutralizing', 'optimism']","Waiting for the breakdown people to come out. Please tell me what's wrong with my car. Fix it. And let me go away! Strategy: ['neutralizing', 'optimism']"
about to take this trip to the LQ store. Not giving a flying fuck. !,"Not caring too much anymore, can’t wait to get to the LQ store!","['neutralizing', 'optimism']","about to take this trip to the LQ store. Not giving a flying fuck. ! Strategy: ['neutralizing', 'optimism']"
